"","x"
"441","SQLE"
"442","LOC100129046"
"443","SEPHS1"
"444","GLIPR2"
"445","PLRG1"
"446","SPG7"
"447","ZNF614"
"448","PARD6G"
"449","LOC728192"
"450","FAM41C"
"451","MIR221"
"452","INPP5B"
"453","GRPEL2"
"454","PPID"
"455","TRIM56"
"456","UBE2J1"
"457","IL20RA"
"458","C1orf107"
"459","SNORA75"
"460","SAFB2"
"461","C19orf22"
"462","DNAJC25"
"463","KLRG1"
"464","NEURL3"
"465","MS4A8B"
"466","LOC100130155"
"467","E2F4"
"468","CLEC4M"
"469","TAC1"
"470","GYPA"
"471","TRAIP"
"472","LOC284412"
"473","LOC729852"
"474","KIAA0232"
"475","ERCC8"
"476","GPX4"
"477","KIAA0368"
"478","GPR157"
"479","OR52A1"
"480","FAM199X"
"481","CTAGE4"
"482","C9orf30"
"483","HSP90B3P"
"484","ALG9"
"485","BTBD10"
"486","SDK2"
"487","BAIAP3"
"488","RABGGTB"
"489","ANKRD40"
"490","LOC100289673"
"491","CALCOCO2"
"492","SNCA"
"493","SPATS2L"
"494","C2orf53"
"495","ESRRB"
"496","SLC48A1"
"497","ARHGAP26"
"498","TDRD9"
"499","PRCD"
"500","CDK16"
"501","KLRC4"
"502","HRAS"
"503","JAGN1"
"504","BSDC1"
"505","RNF43"
"506","NDUFAF1"
"507","PHF12"
"508","FOLR2"
"509","PLAC8L1"
"510","LYZL6"
"511","WSB1"
"512","PROS1"
"513","SOCS4"
"514","PSMB8"
"515","SDR39U1"
"516","DDIT4L"
"517","MAS1"
"518","LOC283050"
"519","TBCCD1"
"520","CSHL1"
"521","SCARNA16"
"522","ZBTB7C"
"523","AP2S1"
"524","VAT1"
"525","SHANK3"
"526","TUFM"
"527","OR7E5P"
"528","THEG"
"529","SGSM3"
"530","FOLR4"
"531","TOMM22"
"532","SOCS3"
"533","CPO"
"534","POP4"
"535","MALL"
"536","PARK2"
"537","GPR124"
"538","TMEM132A"
"539","LCE1E"
"540","RUVBL2"
"541","CGRRF1"
"542","ACPL2"
"543","WNT10B"
"544","GTF2IRD2P1"
"545","BAIAP2L2"
"546","SNORD51"
"547","LOC728724"
"548","ISCA1"
"549","C1orf125"
"550","RPAP1"
"551","RPL27"
"552","NLRP9"
"553","EPN1"
"554","LOC389493"
"555","SLC35A1"
"556","GAL"
"557","SLC14A2"
"558","RDH11"
"559","FAM138F"
"560","AUH"
"561","C14orf129"
"562","MBD2"
"563","ABHD14B"
"564","SPHAR"
"565","PIGT"
"566","ALS2CR4"
"567","ALAS1"
"568","FOXO1"
"569","CRLF3"
"570","OR5W2"
"571","C20orf107"
"572","FARS2"
"573","DAD1L"
"574","CCDC28A"
"575","OR13F1"
"576","NPHP3"
"577","LOC285627"
"578","TSEN54"
"579","AFARP1"
"580","STH"
"581","ZC3H14"
"582","TMEM49"
"583","HMGXB4"
"584","CBX2"
"585","CXADRP2"
"586","RBMXL1"
"587","CRTAP"
"588","DDX50"
"589","TBPL2"
"590","STYXL1"
"591","EFCAB4A"
"592","BLVRB"
"593","SNORA68"
"594","MMP24"
"595","GRID1"
"596","BANF1"
"597","CATSPER2P1"
"598","HMBS"
"599","FAM13A"
"600","SLC25A24"
"601","FLJ44606"
"602","C14orf50"
"603","SLC25A15"
"604","MRO"
"605","CCDC129"
"606","ACER3"
"607","FAM84B"
"608","TDP1"
"609","C16orf78"
"610","C11orf57"
"611","RFK"
"612","ARHGAP8"
"613","ZFYVE9"
"614","LOC643008"
"615","WIBG"
"616","GBA2"
"617","NDUFB3"
"618","HSD17B13"
"619","GRIN3A"
"620","FLJ34503"
"621","FMNL1"
"622","FLJ41200"
"623","41159"
"624","GNLY"
"625","GRAMD1C"
"626","ZNF165"
"627","USP38"
"628","FAM83A"
"629","ARMCX3"
"630","ARHGDIB"
"631","LOC91149"
"632","AK1"
"633","ACSS3"
"634","KIAA1045"
"635","C4B"
"636","DNAJB13"
"637","TRIM77"
"638","HIST1H4B"
"639","FAM20B"
"640","HES2"
"641","FAM73B"
"642","INTS7"
"643","AMPH"
"644","ZNF775"
"645","UCKL1"
"646","SNORA23"
"647","HNRNPH1"
"648","C1orf161"
"649","ALDH1L1"
"650","COX16"
"651","SLC23A1"
"652","THAP4"
"653","RBM4B"
"654","OGFRL1"
"655","KRTAP10-5"
"656","PPP1R15A"
"657","C1orf96"
"658","C12orf11"
"659","BMF"
"660","MAN1A1"
"661","RBMY1A1"
"662","TGIF2LY"
"663","NKAIN1"
"664","SNORD109A"
"665","NLGN4X"
"666","LOC338739"
"667","IFNE"
"668","ALOX12"
"669","RB1CC1"
"670","NEIL2"
"671","EIF4E"
"672","SIGLEC15"
"673","ABHD5"
"674","EXOC4"
"675","PRAMEF14"
"676","HEATR5A"
"677","SLC29A4"
"678","BATF2"
"679","HTR4"
"680","URGCP"
"681","EMB"
"682","TRAF6"
"683","LPAR3"
"684","LOC283104"
"685","LMNB1"
"686","CKMT1B"
"687","SNORD9"
"688","FAM19A5"
"689","SHE"
"690","PIK3C2B"
"691","LOC100144597"
"692","AKR1E2"
"693","USP15"
"694","TCEAL2"
"695","C5orf39"
"696","PTGER2"
"697","FAM184B"
"698","SLC31A1"
"699","IFT172"
"700","ST7L"
"701","GFOD1"
"702","ADAM29"
"703","BET3L"
"704","PKN3"
"705","C15orf26"
"706","CNTD1"
"707","COMMD1"
"708","WASH7P"
"709","OCM2"
"710","NTRK2"
"711","FOXN3"
"712","MFGE8"
"713","PFKFB2"
"714","TAS2R4"
"715","ENTHD1"
"716","PRMT5"
"717","ZSCAN12P1"
"718","HIST2H3A"
"719","DCAF4"
"720","LCLAT1"
"721","TSKU"
"722","PDLIM1"
"723","KRTCAP3"
"724","KCNS2"
"725","RNF126"
"726","CEP63"
"727","CLIC4"
"728","ACR"
"729","KLK7"
"730","ALOX5AP"
"731","RIPK3"
"732","C19orf18"
"733","BIRC6"
"734","ZNF16"
"735","RFT1"
"736","APOC1P1"
"737","SLC8A2"
"738","TACC1"
"739","SH3PXD2B"
"740","SAMHD1"
"741","EPC2"
"742","C20orf85"
"743","ATP13A2"
"744","LOC100131193"
"745","SNX18"
"746","MDM2"
"747","CAPNS1"
"748","SNORD110"
"749","PCDH20"
"750","KCNK9"
"751","KLHDC3"
"752","IPPK"
"753","EFHD2"
"754","NBEA"
"755","GALR3"
"756","ABCA6"
"757","CLDN3"
"758","AKT2"
"759","EGFR"
"760","RBM16"
"761","ZDHHC3"
"762","SLC25A4"
"763","CYB5B"
"764","NDRG1"
"765","CPXM1"
"766","FLJ43826"
"767","CDHR4"
"768","ANKRD30BP2"
"769","ZNF285"
"770","MRPL46"
"771","FMO6P"
"772","FARP2"
"773","SNORD50A"
"774","LOC100270746"
"775","MAPKAPK3"
"776","LDHAL6B"
"777","NCAM2"
"778","PRKD2"
"779","ZFP36L1"
"780","CYSLTR1"
"781","HIST1H2AJ"
"782","CCNB2"
"783","ZNF10"
"784","TMEM175"
"785","FAM134A"
"786","TIGD4"
"787","FLJ13197"
"788","PCNP"
"789","TBC1D3G"
"790","LQK1"
"791","CREB1"
"792","AFAP1AS"
"793","NAA38"
"794","C9orf57"
"795","FAM22F"
"796","TMPRSS3"
"797","C4orf32"
"798","LAT"
"799","LOC392196"
"800","KCNA3"
"801","SKIV2L2"
"802","ROPN1B"
"803","ZHX2"
"804","CDT1"
"805","CD28"
"806","ZNF624"
"807","41154"
"808","SOHLH2"
"809","MCOLN3"
"810","MASP2"
"811","ZNRF3"
"812","GPATCH3"
"813","AGL"
"814","QRICH2"
"815","PSD4"
"816","PRR20B"
"817","CCNB1IP1"
"818","LOC100124692"
"819","ENPP7"
"820","OBFC1"
"821","KCNG3"
"822","ENPEP"
"823","C14orf79"
"824","GIYD1"
"825","MIR93"
"826","SCT"
"827","SKI"
"828","SHISA4"
"829","SEC61G"
"830","CAPN11"
"831","ATXN7L3"
"832","SNORA1"
"833","FAIM"
"834","DBNDD1"
"835","ANKRD36"
"836","GABRP"
"837","AWAT2"
"838","TACSTD2"
"839","PPP2R2A"
"840","EIF3J"
"841","ZNF541"
"842","TEKT4"
"843","PVALB"
"844","NCRNA00168"
"845","F10"
"846","FAM134C"
"847","COMP"
"848","SCLT1"
"849","TAL1"
"850","LOC493754"
"851","ACSL1"
"852","ABCC5"
"853","RBBP7"
"854","ABL1"
"855","PTPRG"
"856","NCOR1"
"857","TXNRD1"
"858","SPINK4"
"859","UBE2H"
"860","BRDT"
"861","FAM156A"
"862","C8orf31"
"863","SLC6A8"
"864","CCNE2"
"865","CALCR"
"866","CDC45"
"867","CWC22"
"868","PPP1CB"
"869","ABHD8"
"870","ARF5"
"871","SLC24A4"
"872","CCT3"
"873","ZNF121"
"874","SLC5A10"
"875","SLC3A2"
"876","OR13A1"
"877","RAD50"
"878","IER5"
"879","MTHFD1L"
"880","MBTPS2"
"881","MVK"
"882","RBMY1E"
"883","NCL"
"884","PSMD10"
"885","MOBP"
"886","LOC150786"
"887","HRH1"
"888","HCG18"
"889","C5orf30"
"890","SPANXA1"
"891","RASGRP3"
"892","NUDT16L1"
"893","C16orf11"
"894","LOC284837"
"895","PRKRIP1"
"896","CCDC75"
"897","LOC285972"
"898","FBXO47"
"899","MED21"
"900","KIAA1239"
"901","SYT11"
"902","NTSR2"
"903","BTBD18"
"904","CXorf59"
"905","SPTBN2"
"906","LRMP"
"907","BHLHE40"
"908","KLHL31"
"909","RNF111"
"910","C17orf98"
"911","C11orf92"
"912","KIAA0895"
"913","P2RY10"
"914","NME5"
"915","DDX21"
"916","LRSAM1"
"917","HDAC11"
"918","VMO1"
"919","MTO1"
"920","ADAR"
"921","P2RX1"
"922","HBM"
"923","EN2"
"924","MIR2276"
"925","TM9SF2"
"926","INHBE"
"927","TCTE3"
"928","TOX2"
"929","HBB"
"930","MED15"
"931","CASR"
"932","MTPN"
"933","UNC50"
"934","C21orf33"
"935","IRF2"
"936","PGR"
"937","SRPX"
"938","BRE"
"939","FGF10"
"940","SDC3"
"941","TMEM218"
"942","SOX6"
"943","RPUSD2"
"944","MAPK11"
"945","TBC1D22A"
"946","FAM123A"
"947","ZNF204P"
"948","COL4A6"
"949","TOMM70A"
"950","MIR22"
"951","NAB1"
"952","C4orf49"
"953","TSPAN18"
"954","NCRNA00275"
"955","MED31"
"956","MAFIP"
"957","ZNF532"
"958","PLG"
"959","FLJ45244"
"960","CAPSL"
"961","ASB14"
"962","CA8"
"963","FBLN7"
"964","SLFN11"
"965","POLR2J3"
"966","PAR-SN"
"967","NOL7"
"968","BRMS1L"
"969","PANK2"
"970","ICAM3"
"971","TAF8"
"972","MIR3173"
"973","RNF139"
"974","ZNF594"
"975","ADAM8"
"976","SFTPC"
"977","MAN2B2"
"978","RGS12"
"979","EIF1AY"
"980","LRRIQ1"
"981","CCDC21"
"982","PRRG3"
"983","SAA4"
"984","RPL23P8"
"985","RAPGEF5"
"986","ZCCHC2"
"987","MGC39372"
"988","MIR570"
"989","ACAP2"
"990","PPP4R2"
"991","MIR644"
"992","CDCA2"
"993","PTGFRN"
"994","C1orf194"
"995","SIGLEC5"
"996","LRRN4CL"
"997","C19orf61"
"998","NMUR2"
"999","KIAA1586"
"1000","DAGLA"
"1001","MGC27382"
"1002","NEUROD6"
"1003","CHCHD6"
"1004","SLC2A4RG"
"1005","FBXL3"
"1006","CA5B"
"1007","MPHOSPH9"
"1008","HCN4"
"1009","CEACAM19"
"1010","SH2D4B"
"1011","HFE2"
"1012","TGM4"
"1013","TBC1D15"
"1014","LYPD2"
"1015","FAM168A"
"1016","NCRNA00259"
"1017","ZNF830"
"1018","MRPS21"
"1019","NONO"
"1020","ITCH"
"1021","MGAT3"
"1022","LOC144571"
"1023","MBP"
"1024","GTF2H2C"
"1025","RPP25"
"1026","SOSTDC1"
"1027","HRC"
"1028","TRIM48"
"1029","TMEM133"
"1030","LRRC67"
"1031","LOC731779"
"1032","ECEL1P2"
"1033","HOXC11"
"1034","DOK5"
"1035","HELZ"
"1036","ADRB3"
"1037","PTRH2"
"1038","DMD"
"1039","NDUFA12"
"1040","STAMBPL1"
"1041","ADCY2"
"1042","LOC100188949"
"1043","KLHL20"
"1044","SRM"
"1045","OTC"
"1046","MIR1184-2"
"1047","ANKRD33B"
"1048","TMIE"
"1049","SNX8"
"1050","LOC100128593"
"1051","CHURC1"
"1052","ANKRD20A4"
"1053","KLC2"
"1054","HDAC1"
"1055","ELMOD3"
"1056","FNDC3B"
"1057","MTCP1"
"1058","VMA21"
"1059","WFDC10B"
"1060","JAKMIP3"
"1061","PCDHGB3"
"1062","CAV2"
"1063","ATRNL1"
"1064","SUN3"
"1065","MED26"
"1066","LOC387723"
"1067","DUS1L"
"1068","NEK9"
"1069","KDM2B"
"1070","CHRM3"
"1071","WARS2"
"1072","USP50"
"1073","NEURL1B"
"1074","RIMKLA"
"1075","TBX22"
"1076","LOC647946"
"1077","ASF1A"
"1078","TOMM40"
"1079","TUBGCP5"
"1080","IGSF6"
"1081","TPPP"
"1082","RGPD3"
"1083","GSTM5"
"1084","BTD"
"1085","SNRPB2"
"1086","PDCD1LG2"
"1087","MBOAT7"
"1088","ERICH1"
"1089","APOA4"
"1090","KRTAP19-8"
"1091","HOXA11"
"1092","RAB28"
"1093","MKX"
"1094","HAUS7"
"1095","OR2M3"
"1096","PKP3"
"1097","SH3GL2"
"1098","RPN2"
"1099","CTSO"
"1100","SFMBT1"
"1101","IL28RA"
"1102","FLJ43390"
"1103","LOC401109"
"1104","HSF5"
"1105","TTC9B"
"1106","SNAR-A10"
"1107","UPF2"
"1108","SORBS3"
"1109","CD101"
"1110","ALB"
"1111","JPH1"
"1112","DOPEY1"
"1113","AGBL2"
"1114","TERF1"
"1115","KIF22"
"1116","ACTBL2"
"1117","NINJ1"
"1118","SNORD32A"
"1119","SEC61A2"
"1120","LOC400238"
"1121","ZNF703"
"1122","UCP3"
"1123","SFXN4"
"1124","HIST1H1D"
"1125","MYL6B"
"1126","LOC253039"
"1127","OST4"
"1128","LOC283922"
"1129","VAMP7"
"1130","OR52E6"
"1131","BREA2"
"1132","CKMT2"
"1133","SLC13A3"
"1134","HLA-C"
"1135","SBDSP1"
"1136","N4BP2L1"
"1137","TIMP4"
"1138","SLIT2"
"1139","HAUS3"
"1140","RSF1"
"1141","MYLK3"
"1142","MON1A"
"1143","LONRF1"
"1144","C2orf88"
"1145","CACNG6"
"1146","FLJ42875"
"1147","LRIT3"
"1148","HMGXB3"
"1149","ZSWIM3"
"1150","DPPA4"
"1151","ZNF804A"
"1152","MDS2"
"1153","CCIN"
"1154","WDR83"
"1155","SLC25A31"
"1156","KCNMB4"
"1157","RABL5"
"1158","CGB8"
"1159","GALNS"
"1160","LOC100133957"
"1161","STX6"
"1162","HIST1H1C"
"1163","CIDEB"
"1164","CT47A1"
"1165","PDK3"
"1166","KCNJ11"
"1167","CASP4"
"1168","TPR"
"1169","ZSCAN20"
"1170","MTX2"
"1171","HIST1H2BH"
"1172","LYRM7"
"1173","BRD3"
"1174","HIST1H2BO"
"1175","SLC45A1"
"1176","SERPINA3"
"1177","MAGEB10"
"1178","HLA-DRB3"
"1179","KCNJ16"
"1180","LOC644961"
"1181","PABPC1L2B"
"1182","FABP2"
"1183","ZNF57"
"1184","FBXL4"
"1185","CLEC9A"
"1186","UGT8"
"1187","BMP2K"
"1188","SLC25A23"
"1189","MAPK4"
"1190","HINT1"
"1191","SFXN5"
"1192","CHCHD2"
"1193","FAM3D"
"1194","NDP"
"1195","SLC4A4"
"1196","RHOBTB1"
"1197","C6orf155"
"1198","RPL38"
"1199","SUMO1P3"
"1200","AP2A2"
"1201","ZBTB46"
"1202","MAP7D1"
"1203","AOX1"
"1204","CYR61"
"1205","JRKL"
"1206","DTNA"
"1207","C1orf86"
"1208","TMOD3"
"1209","EEA1"
"1210","ADCK5"
"1211","IL1R1"
"1212","HRSP12"
"1213","KTN1"
"1214","RELL2"
"1215","MAB21L1"
"1216","PHKB"
"1217","TBC1D8B"
"1218","LAPTM4B"
"1219","TMEM147"
"1220","SYT4"
"1221","GGT5"
"1222","XPO7"
"1223","GPR75"
"1224","TRIM5"
"1225","APOC1"
"1226","RNASE4"
"1227","PARD6B"
"1228","ARHGAP11B"
"1229","ARID1A"
"1230","RRAGB"
"1231","RCN2"
"1232","HIST2H2BE"
"1233","STARD7"
"1234","SHMT2"
"1235","MLYCD"
"1236","KIAA1751"
"1237","UQCRH"
"1238","LOC162632"
"1239","SDHA"
"1240","OR6C3"
"1241","NCLN"
"1242","ZNF17"
"1243","LOC285456"
"1244","ZNF280D"
"1245","RCBTB2"
"1246","VEGFB"
"1247","COLQ"
"1248","MGC23284"
"1249","DRG2"
"1250","KLRB1"
"1251","DNASE2B"
"1252","ALPK2"
"1253","SAFB"
"1254","PAGE3"
"1255","SRSF12"
"1256","NSUN4"
"1257","RFX2"
"1258","MAPK8IP1"
"1259","LOC154761"
"1260","FANCD2"
"1261","ANKZF1"
"1262","DUSP8"
"1263","C19orf50"
"1264","SENP5"
"1265","NFKBIL2"
"1266","SNORA14B"
"1267","LBR"
"1268","LZTS2"
"1269","IL2RG"
"1270","CCDC51"
"1271","KLF3"
"1272","KCTD14"
"1273","FZR1"
"1274","ANKRD37"
"1275","SLC44A4"
"1276","ESPL1"
"1277","GMPR2"
"1278","TBC1D19"
"1279","ERGIC1"
"1280","ERBB4"
"1281","TSPAN32"
"1282","MAP4"
"1283","OR2T33"
"1284","GPHN"
"1285","SLC6A2"
"1286","SNORA56"
"1287","HIVEP1"
"1288","EIF4EBP2"
"1289","DFFB"
"1290","DMRT1"
"1291","ANKRD34B"
"1292","HSPB6"
"1293","IER2"
"1294","AIFM1"
"1295","WWC2"
"1296","ST7OT3"
"1297","MRPL4"
"1298","METTL11A"
"1299","EPB41L4A"
"1300","SH2D6"
"1301","NUDT4P1"
"1302","SNAR-A7"
"1303","TAF4B"
"1304","GAL3ST3"
"1305","RTDR1"
"1306","MALT1"
"1307","ARVCF"
"1308","MEX3B"
"1309","FBXO16"
"1310","KIF7"
"1311","ZNF85"
"1312","MMP13"
"1313","GOLGA8E"
"1314","RTP3"
"1315","ZBED3"
"1316","FAM127C"
"1317","KDM4D"
"1318","CLGN"
"1319","SLC25A37"
"1320","SMARCC2"
"1321","FAM109A"
"1322","CCDC12"
"1323","AMBRA1"
"1324","USF2"
"1325","DEPDC7"
"1326","C20orf24"
"1327","DSP"
"1328","DGCR9"
"1329","FAM20A"
"1330","IRF2BP2"
"1331","ZNF230"
"1332","FAM66D"
"1333","MSN"
"1334","SLC9A5"
"1335","ZNF434"
"1336","MUSK"
"1337","EPDR1"
"1338","SMARCD1"
"1339","SH3RF3"
"1340","ZNF347"
"1341","ZFP106"
"1342","FAM75A1"
"1343","GTF2E1"
"1344","ATAD2B"
"1345","C4orf44"
"1346","ARHGAP17"
"1347","KCNIP3"
"1348","SFPQ"
"1349","PRSS54"
"1350","TIGD6"
"1351","AKR1B10"
"1352","RGS16"
"1353","URB1"
"1354","TCEB3CL"
"1355","RTL1"
"1356","TOP3B"
"1357","NFATC4"
"1358","GVIN1"
"1359","LOC728323"
"1360","CA14"
